gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Tnfsf8	3.110806413398515e-8	-14.010744567555909	0	0.151	6.22161282679703e-5
Actn2	3.12211153007359e-8	-13.669621839089505	0	0.134	6.244223060147179e-5
Ybx3	3.1448414574301075e-8	-1.8522545794137208	0.864	0.23	6.289682914860216e-5
Thy1	3.248567688320064e-8	-7.647153985979081	0.045	0.405	6.497135376640128e-5
Mmp14	3.257547121190981e-8	-5.255365214513157	0.864	0.158	6.515094242381962e-5
Tslp	3.29654749889813e-8	-12.835764279494835	0.091	0.155	6.59309499779626e-5
Scimp	3.326811500493919e-8	-12.13117344674674	0.045	0.15	6.653623000987839e-5
Camk2b	3.381734129644628e-8	-14.788757697576692	0	0.114	6.763468259289257e-5
Rasgef1b	3.412168455284939e-8	-14.10588714348758	0.091	0.153	6.824336910569878e-5
Pfkfb1	3.498443363393472e-8	-14.316237742819716	0	0.225	6.996886726786944e-5
Rapgefl1	3.586832470542607e-8	-7.9700663313093845	0.045	0.172	7.173664941085214e-5
Tubb3	3.698937779803208e-8	-14.107113968504667	0.045	0.18	7.397875559606415e-5
Cstad	3.7630382124970284e-8	-15.046428628338434	0	0.153	7.526076424994056e-5
Tuba1a	3.8177139376705945e-8	-7.5467011563512925	0.864	0.282	7.63542787534119e-5
Masp2	3.8367683711388963e-8	-14.591401860535777	0	0.157	7.673536742277793e-5
Alpk2	3.915927478604467e-8	-14.669209471305768	0.045	0.171	7.831854957208934e-5
Rec114	3.941537131621716e-8	-14.510968840340867	0.091	0.181	7.883074263243432e-5
Mier1	4.129649348115302e-8	-7.148051674670334	0	0.399	8.259298696230604e-5
Tagln	4.1473694912002816e-8	-7.235185235855777	0.091	0.11	8.294738982400563e-5
Adamts6	4.2067302962702885e-8	-11.501404838313833	0	0.153	8.413460592540577e-5
Apobec1	4.3920511278342305e-8	-14.586255208916937	0	0.134	8.784102255668462e-5
Sidt1	4.419918332401254e-8	-14.127846708589308	0	0.105	8.839836664802508e-5
Dcdc2b	4.436569832740777e-8	-14.59122633019157	0.045	0.159	8.873139665481555e-5
Spats2l	4.450238687965406e-8	-2.5465411516894125	0.864	0.164	8.900477375930812e-5
Fbxl22	4.5470700011563364e-8	-13.0335853732471	0.045	0.166	9.094140002312673e-5
Lrrc8e	4.6048885803529465e-8	-14.31483203294743	0.091	0.189	9.209777160705892e-5
Crmp1	4.688152573551802e-8	-14.756776818873023	0	0.138	9.376305147103604e-5
Cbfa2t3	4.742043729515305e-8	-11.92806987001777	0.091	0.24	9.484087459030611e-5
Trbv15	4.7647428945288975e-8	-14.201528378796615	0	0.225	9.529485789057795e-5
Ephx3	4.7826518095669176e-8	-15.31303487001365	0	0.188	9.565303619133835e-5
Cxcr2	4.841720183651257e-8	-14.152725106445379	0	0.182	9.683440367302514e-5
Tmsb10	4.98740308976511e-8	-17.69716301016037	0	0.281	9.97480617953022e-5
Hbb-bt	4.9942023203408704e-8	-16.633337879841076	0.045	0.176	9.98840464068174e-5
Gbp2	5.01251938317373e-8	-5.947478814058667	0.818	0.146	1.002503876634746e-4
Igsf23	5.032615324481078e-8	-11.224958605838628	0.045	0.173	1.0065230648962156e-4
Klrk1	5.087741823444838e-8	-14.335415648635587	0.045	0.119	1.0175483646889675e-4
Tgm2	5.102048191547193e-8	8.36720044182918	0.818	0.069	1.0204096383094387e-4
Foxg1	5.151334626443459e-8	-13.253348006700525	0.091	0.131	1.0302669252886918e-4
Ank	5.2521871995583144e-8	-2.291872053407303	0.045	0.189	1.0504374399116629e-4
Ets2	5.2620197067881615e-8	-4.928016027223947	0.045	0.37	1.0524039413576323e-4
Crispld2	5.2736624031816957e-8	-14.957679688953586	0.091	0.166	1.0547324806363391e-4
Mis18bp1	5.3376913111898324e-8	-5.9193478131459365	0.136	0.176	1.0675382622379665e-4
Elavl4	5.567307331198621e-8	-14.837228953435215	0	0.225	1.1134614662397242e-4
Trdv1	5.6214193505583896e-8	-14.57011537090587	0	0.197	1.124283870111678e-4
Nr1h3	5.62714491236506e-8	-13.528931450242393	0.136	0.145	1.125428982473012e-4
Myo1c	5.819290661396739e-8	0.8314150769109698	0.818	0.161	1.1638581322793479e-4
Alox5ap	5.819291151212047e-8	-16.329632503494864	0.091	0.129	1.1638582302424094e-4
Napsa	5.903714924005514e-8	-15.40660542083334	0	0.103	1.1807429848011028e-4
Glcci1	5.919738635798151e-8	-7.245433919173815	0	0.26	1.1839477271596303e-4
